"Диалог","Допродажи","Успех допродажи"
" Здравствуйте!
 Африканская
 Африканская мини
 Да, это у нас есть как горячие напитки, так и холодные
 Можно сделать в виде лимонадов
 И латте черника лаквитса у нас есть
 Это вот такие интересные напитки
 И капучино писташко, это как подтаявшее мороженое будет по вкусу
 Объем 0.2
 Вот также есть бамбл, это апельсиновый сок с двойным эспрессо
 И холодные
 Рекомендую чернику лаквитсу попробовать
 У нее такие интересные вкусы
 Да?
 Да
 Давайте попробуем
 Прекусить что-нибудь?
 Ровно 300
 Ровно 300
 Сэндвичи, роллы, чабата
","",""
"","+",""
" Здравствуйте.
 Здрасте.
 Доброе утро.
 Объем включена 300 за 300, а в дозе 350.
 Это будет объем 300 за 150?
 А, 300 за 150?
 Да, верно.
 А, 20 за 350.
 Руслан Александрович.
 Так, получается ровно 700.
 Чек 20 распечатать?
 Да.
 Минут через 5 все будет готово
 Редактор субтитров Т.Горелова
 Корректор Е.Жукова
 Продолжение следует...
","",""
" А можно бы чизкейк в банке?
 В банке?
 Нет, не пойдем.
 А, манго-марако?
 И очарка пыли есть?
 Да, представлено.
 Есть листовые, есть травы.
 И также есть облепиховый чай.
 А вот этот лист вишни,
 это отдельно?
 Да, это все перечислено отдельно.
 И это не будет такой яркий, выраженный
 вишневый аромат, запах, вкус.
 А где вот этот,
 который облепиховый?
 А вот этот отдельно будет.
 У нас у них как лимонад представлен,
 но его также можно сделать горячим.
","",""
" 
 Какие у вас десерты?
 Вот, пожалуйста, кроссаны.
 Есть еще трубочка чизкейк.
 И также в банке есть десерты.
 Классический чизкейк.
 Пудинг банановый.
 И Наполеон с вишней.
 Очень вкусный.
 Прям рекомендую.
 А можно бы чизкейк в банке?
 В банке?
 Нет, не пойдем.
 А, манго-марако?
 И очарка пыли есть?
 Да, представлено.
 Есть листовые, есть травы.
 И также есть облепиховый чай.
 А вот этот лист вишни,
 это отдельно?
 Да, это все перечислено отдельно.
 И это не будет такой яркий, выраженный
 вишневый аромат, запах, вкус.
 А где вот этот,
 который облепиховый?
 А вот этот отдельно будет.
 У нас у них как лимонад представлен,
 но его также можно сделать горячим.
","",""
" но его также можно сделать горячим.
 А он вкусный?
 Да, он вкусный.
 Два чизкейка манго-марако.
 Вам с собой или здесь?
 Есть.
 И облепиховый чай.
 940.
 Чайкнуть распечатать?
 Давай.
 Пожалуйста.
 Здравствуйте. Можно водичку простую?
 Теплая или холодная для вас?
 Прохладная, пожалуйста.
 Через сколько подъедете?
 Через 10 минут.
 Она из холодильника будет.
 Из холодильника.
 Хорошо.
 У вас плохой кофе, девушка?
 Почему?
 Никого нет?
 Так никого в ТДМ нет?
 А?
 Так никого вообще нету почти?
","",""
" Сделать тебе капучино?
 Большое? У нас 300 и 150 объемов.
 300.
 Два чайных сиропа
 Обычное молоко для вас?
 Обычное, но можно сироп и карамель добавить
 Сиропов у нас нет
 Ну и не надо
 Хорошо
 У нас кросса на поскидке
 Какая у вас?
 По карте у вас будет
 650
 Чек для вас распечатать?
 Да, конечно
","+",""
" Здравствуйте.
 Здравствуйте.
 Чаи там все указаны?
 Да, верно.
 Также еще есть опропиховый чай.
","+",""
" Можно у вас оставить
 Нужно будет минутки 3 подождать.
 Да, хорошо.
 А, кошки убегали.
 Вот и пошёл.
","+",""
" Спасибо.
 Спасибо.
 Спасибо.
 А царапинсовой пасты не делаете?
","",""
" Здравствуйте!
 Здравствуйте!
 У вас есть чай?
 Есть!
 Вот представлено
 Селективный тростовой
 От изобилдного до обычной травы
 Все, что перечислено, можно сделать на выбор
 Давай кинем на траву.
 Какой именно?
","+",""
" Можно с чабрецом.
 Давайте с чабрецом.
 Еще что-нибудь?
 Все.
 Ну, 285.
 Там стаканчик 0,3 будет с собой.
 М?
 Стаканчик 0,3 с собой.
 Да.
 По-моему, нет.
 Через пару минут можете подойти.
 Че?
 Через пару минут можете подойти.
 Здравствуйте.
 Здравствуйте.
 А-а-а...
 Мне, пожалуйста, лимонад с киндерика шалфей.
 Он очень холодный?
 Обязательно. Или можно не очень холодный?
 Можно не очень холодный.
 Тогда не очень холодный.
 Еще что-нибудь?
","+",""
" Продолжение следует...
 Здравствуйте!
 Здравствуйте!
 У вас есть чай?
 Есть!
 Вот представлено
 Селективный тростовой
 От изобилдного до обычной травы
 Все, что перечислено, можно сделать на выбор
 Давай кинем на траву.
 Какой именно?
 С мятой.
 Там будет только мята.
 Без всего?
 Да.
 А если с чабрецом?
 Можно с чабрецом.
 Давайте с чабрецом.
 Еще что-нибудь?
 Все.
 Ну, 285.
 Там стаканчик 0,3 будет с собой.
 М?
 Стаканчик 0,3 с собой.
 Да.
 По-моему, нет.
 Через пару минут можете подойти.
 Че?
 Через пару минут можете подойти.
 Здравствуйте.
 Здравствуйте.
 А-а-а...
 Мне, пожалуйста, лимонад с киндерика шалфей.
 Он очень холодный?
 Обязательно. Или можно не очень холодный?
 Можно не очень холодный.
 Тогда не очень холодный.
 Еще что-нибудь?
","+",""
" Продолжение следует...
 Здравствуйте!
 Здравствуйте!
 У вас есть чай?
 Есть!
 Вот представлено
 Селективный тростовой
 От изобилдного до обычной травы
 Все, что перечислено, можно сделать на выбор
 Давай кинем на траву.
 Какой именно?
 С мятой.
 Там будет только мята.
 Без всего?
 Да.
 А если с чабрецом?
 Можно с чабрецом.
 Давайте с чабрецом.
 Еще что-нибудь?
 Все.
 Ну, 285.
 Там стаканчик 0,3 будет с собой.
 М?
 Стаканчик 0,3 с собой.
 Да.
 По-моему, нет.
 Через пару минут можете подойти.
 Че?
 Через пару минут можете подойти.
 Здравствуйте.
 Здравствуйте.
 А-а-а...
 Мне, пожалуйста, лимонад с киндерика шалфей.
 Он очень холодный?
 Обязательно. Или можно не очень холодный?
 Можно не очень холодный.
 Тогда не очень холодный.
 Еще что-нибудь?
","",""
"","",""
"","",""
" Здравствуйте!
","",""
" Редактор субтитров А. Семкин
 Корректор А. Кулакова
 
 Приятного аппетита!
","+",""
" Здравствуйте!
 Капучино лата
","",""
" А у вас нежная плата можно?
 Да, конечно.
 Вот, так, ну это фильтр, 220, актуарьте в стену.
 Ещё так-то, пожалуйста.
","+","+"
" Здравствуйте еще раз.
 А можно нам кроасан?
 Ну какой бы уж кроасан?
 Обычный, классический?
 Без всего, да?
 Можно кроасанчик обычный без всего?
 Запить для вас что-нибудь?
 Можно мне капучино тоже.
 Большой?
 Ну у нас будет как большой на классическом молоке.
 И кроасан классический.
 А водичка есть обычная?
 Да, конечно. Для вас холодная или комнатная?
 Комнатная.
 Ну обычную тогда водичку.
 625. Чек понадобится?
","",""
" Здравствуйте.
 Здравствуйте. Вы хотите оборудование овсяное печенье и flat white?
 Ага.
 Flat white на классическом?
 Да.
 Большой понравится?
 Большой.
 Да, да, да. 0,3 у нас стоит большой.
 Так, овсяное печенье и капучино большой.
 Так, 770. Чек понадобится для вас?
 Ага.
 Чем древнее выглядит точно не так
 Маньяк
 Все древнее
 Или надо было с кожурой как-то делать
 С кожурой бы
 Когда бы тоже кожура была древняя
 Смотрите, какие маленькие ребята.
 Зайцы зайдут и будут крысть это всё.
 Крыть ножами.
 По-моему, магазин это всё будет...
 Тут практичность нужна.
 Знаешь ли.
 Потом ты видел там
 с зеркальным отражением,
 как написано, что вот.
 Я видел, это тоже сторона вот на самом деле.
 Я видел, и не понятно, как это сказали.
 Классно, что зеркальное управление.
 Через 4-5 минут будет готово.
 Вот если сейчас выбросить в рёвно, то будет...
 Выбросить в рёвно, выбросить...
","",""
" Пожалуйста капучино и флот вайт.
 И сейчас достану овсяное печенье.
 У вас есть?
 У нас есть прям машина.
 Готово.
 Прям машина из готёвки медаллов.
 Сколько можно взять?
","",""
" Сколько можно взять?
 А вот это вот, да?
 Да, сейчас я вам расскажу.
 Здравствуйте, что для вас?
 Пожалуйста, капучино с собой больше.
 Так, 350.
 Десерт и выпечка для вас.
 Продолжение следует...
","+",""
" Продолжение следует...
 365. Чек понадобится? Нет.
 Спасибо большое.
 Хорошего дня.
 Деловая
 Так много... кто это? Дева или... у кого вы заказываете?
 Это Дева или не Дева?
 Это Дева сейчас.
 Очень много её.
 Да, я её заказала.
 Холодный лат, лимонный печенье пожалуйста
 Спасибо. Всего доброго.
 Он спротивлял, я им тоже сказала, что с салями возьмись в следующий раз, тебе понравится.
 
 А, я записывала книгу, которую я читала
 Ооо
 У меня есть книги, которые я хочу прочитать
 Очень мало, здесь смысла лишь нет
 Знаешь, у меня...
 У меня большие проблемы с чтением, да?
 У меня это всё равно очень сложно
 У меня это стало главным бесплатным, не прочитать
 Вы знакомы?
","",""
" Здравствуйте!
 Десерт и выпечка для вас.
 840.
 Чек понадобится?
 Нет.
","+",""
" Здравствуйте!
 А можно мне с тобой красави-миндальный и кофе?
 А раф можно сделать без сахара?
 Да, я могу в него ничего не добавлять.
 Да, вот как вы любите.
 Они все идут на авторских заготовках, они будут сладкие, там в основе идет сахар.
 Но я могу сделать раф без заготовки, просто без сахара.
 А без заготовки раф будет мятный?
 Мы обычно без заготовки делаем ванильный раф.
 Так, получается RAF и круассанная дальность 600 ровно.
 Так, Ваши тысячи.
","",""
" Можно китайский выучить.
 Всё можно. Можно вернуться к тобой в коварышки.
","+",""
" Здравствуйте.
 Чай, пожалуйста, чайный.
 Да, конечно. Десерт и выпечка для вас.
 Спасибо.
 Чай?
 250
 Чай понадобится?
 Угу
 Продолжение следует...
","+",""
" Либо то, что представлено, можно сделать меньше льда.
 Можно вообще не положить. Я не буду против совершенно.
 Всё, хорошо.
 У нас также есть лимонад, его можно сделать как чай.
 Горячий.
 Вы знаете, лимонада припихиваю, но только вообще без льда.
 Как лимонадом, да, сделать?
 Да.
 А вы как делаете? Просто расскажите, я точно не пойму.
 Просто его также и чаем можно сделать.
 Вы завариваете как-то?
 Нет, у нас специальный концентрат в виде пюре, ягод.
 А разбавляется водичкой, наверное.
 Да, да.
 А потом просто добавляете лёд.
 Да, по-моему, да.
 Вот, а вы просто водички побольше налейте, и льда не будет.
 Да, хорошо.
 Будет тёпленько, да?
 У нас, правда, вода и концентрат из холодильника, он всё равно будет немного прохладный, но без льда.
 Ну, ничего, зато без льда.
 Да.
 Хорошо.
 Максим, что ты будешь взять с лимонадом?
 Подлепитировал бы, пожалуйста.
 Эклер!
 А где эклер-то?
 Эклеров у нас нет, но могу предложить миндальный круассан.
","+","+"
" Капучино вам?
 Угу.
 Также хот-вайт есть маленький.
 Какой?
 Хот-вайт.
 Это крепче, чем капучино.
 Нет, мне капучино не крепче, чем это.
 Какое?
 Белый пошибко.
 Белый?
 Миндальный, да?
 Да, миндальный, да.
 А давай, прекрасно, мы взяли два кружка красного.
 Садись, я сюда.
 Получается, у нас лимонад облепиховый безо льда, маленький капучино и круассан миндальный.
 Угу.
 Так, ровно 900 получается.
 Да.
","",""
" А можно лавка лимонное печенье и чизкейк в банке?
 Лавка лимонное печенье для вас холодная, горячая?
 Горячая.
 Лата лимонное печенье и чизкейк в банке 710.
 Чек понадобится для вас?
 Лата на классическом молоке.
 Есть кокосовый?
 Да, есть.
 780
 пожалуйста
","",""
" Доброе утро!
 Что? Помятный пряник? Что-нибудь еще?
 Так, 350.
 Ну, всё, пошло.
","+",""
" Здравствуйте, что для вас?
 и все?
 угу
 пожалуйста ваш салат переполнен печеньем на такой салат
 классический пекан, не можете ли понадобиться?
 достаньте его, я не хочу, пожалуйста
 пока рецепт у вас будет
 пекан тебе
 можете прилить еще?
 да, конечно, вам сальдом было?
 да, сальдом
 можно уточнить, эспрессо или классический?
 классический
 хорошо
 Пожалуйста, раз
 Спасибо
 До свидания
 Всего доброго
","",""
" Здравствуйте.
 Здравствуйте.
 Что тут у вас?
 Чё-нибудь без молока, точнее кофе.
 Фиктор?
 Да?
 Отличный. Какой?
 На Кении.
 Кислый, нет? Приятный.
 Ну, что-нибудь еще?
 Нет, все.
 А, вот, давай это, кстати.
 Да.
 Какой самый вкусный?
 Какой самый вкусный?
 Ботанчик.
 Давайте посмотрим, что у нас есть.
 Лаймовый тарт.
","+","+"
" Здравствуйте!
 шоколадный пробовали?
 а он протеиновый?
","",""
" Здравствуйте!
 Здравствуйте!
 А, если что, Саня Петь, можно подойти?
 Да, конечно!
 Можно мне, пожалуйста, с моцареллой, потом кофе, капучино на кокосовом молоке?
","",""
" Если можно заменить классно, если нет, ну сейчас вот прям такой возможности, то я прошу заменить ее полностью
 А вы уже придумайте, что с этой делать
 Здравствуйте
","+",""
" Можно чёрную.
 Просто нужно...
","",""
" Здравствуйте.
 Здравствуйте.
 Кофе, пожалуйста.
 Какой для вас?
 Американо.
 Американо у нас нет.
 Сейчас черного кофе, к сожалению, нет.
 Только двойной эспрессо.
 Стакан воды для вас понадобится?
","+",""
" В принципе, он не отходит.
 А нет резиночки у вас вначале?
 Сейчас гляну.
 Блин, наверное...
 Нету, есть только печёвка.
 Давай печёвку.
 Слушай, давай изоленту сейчас сделаем.
 Изоленту сейчас запакаем.
 О, да.
 Можно чёрную.
 Просто нужно...
 Здравствуйте.
 Добрый день.
 Вы бы любили чайбату с солями?
 И американу.
 Американ у нас нет.
 А что есть?
 Сейчас скажу.
 Это можно уже сейчас пользоваться?
 Нет.
 К сожалению, черного кофе у нас сейчас нет.
 Могу эспрессо предложить.
 Хорошо.
 Так, эспрессо.
 Водичка понадобится?
 Нет, благодарю вас.
 Чайбата для вас подогреть?
 Нет, спасибо.
 Хорошо.
 Так, 615.
 Смело тяните.
 Хорошо.
 Подождите.
 Да.
 Смотрите.
 Трещина не разрыдана.
 Подлинно.
 Делаем сразу двойную.
 Сахар, пожалуйста, и салфеточка будут с той стороны.
 Пожалуйста, ваш двойной салфетчик.
 Спасибо.
 Всего доброго.
 Всего доброго.
 Хорошо.
 Да, нужно показать.
 Шикарно.
 Следующий.
 Боллер.
 Боллер, да, его замена.
 Боллер уже привезли, так знаешь откуда?
 Что оно сейчас закрылось?
 Белтон.
 Белтон? Уже закрылся он?
 Да.
 Отсюда Боллер уехал на склад.
 И вот со склада его нужно просто привезти сюда.
 Здравствуйте.
 Здравствуйте.
 Кофе, пожалуйста.
 Какой для вас?
 Американо.
 Американо у нас нет.
 Сейчас черного кофе, к сожалению, нет.
 Только двойной эспрессо.
 Стакан воды для вас понадобится?
","",""
" Нету, есть только печёвка.
 Давай печёвку.
 Слушай, давай изоленту сейчас сделаем.
 Изоленту сейчас запакаем.
 О, да.
 Можно чёрную.
 Просто нужно...
 Здравствуйте.
 Добрый день.
 Вы бы любили чайбату с солями?
 И американу.
 Американ у нас нет.
 А что есть?
 Сейчас скажу.
 Это можно уже сейчас пользоваться?
 Нет.
 К сожалению, черного кофе у нас сейчас нет.
 Могу эспрессо предложить.
 Хорошо.
 Так, эспрессо.
 Водичка понадобится?
 Нет, благодарю вас.
 Чайбата для вас подогреть?
 Нет, спасибо.
 Хорошо.
 Так, 615.
 Смело тяните.
 Хорошо.
 Подождите.
 Да.
 Смотрите.
 Трещина не разрыдана.
 Подлинно.
 Делаем сразу двойную.
 Сахар, пожалуйста, и салфеточка будут с той стороны.
 Пожалуйста, ваш двойной салфетчик.
 Спасибо.
 Всего доброго.
 Всего доброго.
 Хорошо.
 Да, нужно показать.
 Шикарно.
 Следующий.
 Боллер.
 Боллер, да, его замена.
 Боллер уже привезли, так знаешь откуда?
 Что оно сейчас закрылось?
 Белтон.
 Белтон? Уже закрылся он?
 Да.
 Отсюда Боллер уехал на склад.
 И вот со склада его нужно просто привезти сюда.
 Здравствуйте.
 Здравствуйте.
 Кофе, пожалуйста.
 Какой для вас?
 Американо.
 Американо у нас нет.
 Сейчас черного кофе, к сожалению, нет.
 Только двойной эспрессо.
 Стакан воды для вас понадобится?
 Десерт и выпечка?
 250, чек понадобится?
 А мне чай маленький, зеленый.
 Чай у нас в стаканчиках 0,3.
 Нужно будет только немного подождать, пока заварится.
 250, чек понадобится?
 Немного, это сколько?
 Минут пять.
 Пять, хорошо.
","",""
" Здравствуйте.
 Добрый день.
 Можно, пожалуйста, с яйцом и холодной латте?
 Сейчас, к сожалению, кофе...
 Только минут через пять будет.
","",""
" Здравствуйте.
","+",""
" Здравствуйте.
 Здравствуйте.
 Можно?
 Да, да, да, сейчас буду брать.
 Спасибо.
 Так.
","",""
" Можно прямо тогда?
 Давайте ещё завтра.
 Так, тогда сейчас и Мерси считаю.
 Пока.
 Да, только никому, а то к нам все сбегутся.
 Я так что-то поняла, что не надо было так совсем ее рассказывать.
 А кто еще?
 Ну, типа ты, Маша, я такая...
 Щас я тебе проебеку.
 Да-да-да.
 Ну, типа у меня Надя Светкова выходила сюда, я решила ей не говорить об этом.
 Думала, ну, она любит чай попить.
 Не буду говорить об этом.
 Да, и скорее всего она не хотела, чтобы я была ее менеджером.
 Но она к нам на замену выходит, поэтому мы сейчас более-менее спокойно общаемся.
 Слушай, ну и славно, как говорится.
 Мы обе не хотели с друг другом работать, поэтому это самое идеальное решение было.
 Это было обоюдно.
 Да, на самом деле это так.
 Ой, слушай, нормально, выполняем план, прикинь. Я в шоке.
 Сергей, ты замыкан, не плачь.
 Блин, сплю я.
 Я видела сообщение такое, не дай боже.
 Я тоже.
 Я тоже просто видел свое помощь, и я так и подумал, сегодня звонит Сергей.
 Да?
 Какой день?
 Потом.
 Добралась.
 Я очень надеюсь, что он до нас доберется.
 Но?
 Я не переживу это.
 Я не могу, я просто не могу.
 Я очень надеюсь, что он доберется до меня.
 Сегодня был создан пополам положение, там диета, типа, вот.
 А я думаю, чего у меня в этой группе нет? Потому что у меня и продолжения тут нет.
 Мне сейчас фильтры поменяли
 Теперь вкуснее?
 Да, еще вкуснее
 Нет, техник. Я уговаривал его.
 Не, я имею в виду фильтр, потому что Евгений на этом ушел.
 Он докопался. Он на меня... Знаешь, он пришел 1 августа в 8 вечера и в 10 ушел, потому что с фильтрами копошился.
 Ну, типа была там контроль качества, он такой, какие у вас фильтры интересные?
 А там фильтр на ледогенератор был для... для чего?
 Просто ледогенческая чистка.
 Да. Вот эта большая вот.
 И он такой, так-так-так, заменяйте это. Я такая, хм, окей.
 Вот. И вот эту большую подъемную в офис отправят, ну, на склад туда.
 Вот. А остальные фильтры выброшу старые.
 Я говорю, надо как-то утилизировать правильно.
 Он такой, не, я просто выбрасываю.
 Я такая, ну что?
 Как положено
 Блять, точно, я напишу ей
 Чисто ради прикола я напишу, типа ты не знаешь как фильтр утилизировать?
 А батончики-конфетки отличаются?
 Тем, что они трюфельные, но также они на основе фиников, поэтому они одинаковые.
 Только вот эта пожёстче будет.
 Так, а эта на основе чего?
 Тоже всё на основе фиников, там цельные орехи ещё используются, так и сахар.
 А здесь просто ещё шоколад мистер Фи?
 Нет, они там без шоколада, но там ещё и орехов нет, но они и будут пожёстче.
 Чуть помягче, да?
 Да, да, можете сами потрогать, потому что они прям жёсткие.
 Именно малиновая такая?
 Нет, они все в основном такие мягкие.
 А эти даже протеиновые?
 Да, эти протеины, они еще мягче.
 Вот и один банан на последний раз остался
 Ну и другие что-нибудь?
 О!
 Ну да, у нас самый вкусный еще шоколадный и соленый карамель
","+",""
" Вот, можно, конечно, там договориться пораньше уйти, но можно уйти.
 В декабре точно темно будет?
 Ну вот там прям темно будет
 Но утренние смены мне все равно нравятся больше.
 Мне проще... мне больше нравится уйти раньше с работы, чем прийти позже.
 Мне проще вот здесь на диване поспать с утра, чем просто как-то...
 ...среди ночи возвращаться.
 Но сейчас еще придется с псом гулять два раза в день.
 Это, конечно, тяжеловато будет.
 Но что поделать? Не сидеть же ему дома.
 До свидания!
 Я сейчас тоже предпочитаю скорее пораньше прийти, пораньше уйти.
 Хотя здесь назад, там вполне комфортно, потому что приходить поработать на нас и уходить в свою идею.
","",""
" Здравствуйте.
 Капучино 0,4 на...
 Капучино у нас максимальный размер 0,3.
 0,3, давайте 0,3. 2,0,3 капучино.
 На классическом ряде.
 Согласитесь, сделайте на классическом.
","",""
" Капучино.
","",""
" Здравствуйте!
 Соевого нет, есть безлактозное, овсяное, кокосовое, миндальное,
 банановое и канапуре.
","",""
" Вашу маму можно еще взять?
 Так, хорошо.
 Вот чуть-чуть.
 До этой полосочки, Макс.
 Короче, это...
 Да, да, это.
 Ну, все будет нормально.
 Это русский кино?
 Можно вас попросить вот это с помощью?
 Конечно.
 Ой, это накапливает.
 Русский кино, короче.
 Я говорю, что серьезно, просто...
 И там типа Тора, я уже не помню, что?
 Типа Тора что-то.
 И там реалия, что-то там сказали, говорят, показывают.
 В смысле, это же просто официальный полноценный фильм.
 Она говорит, да.
 Просто мы потом на российский кино не пойдем,
 который, типа, якобы за ним сразу идет.
 Там просто даже ничего нафиг не ходит.
 А что париться вообще, напрягаться в целом?
 Угу.
 Спасибо.
 Всего доброго.
 Да, спасибо.
 Заверни.
","",""
" 
 
","",""
" Здравствуйте!
 Здравствуйте!
 С насосом, пожалуйста.
 А у вас чай есть такой?
 Чай, да, есть.
 Все, что в меню, это все отдельные тизаны и селективные.
 Что означает селективная чайка?
 Селективные это классические листовые.
 Давайте, почему-то такси очень быстро начало ехать, я только что 10 минут показала,
","",""
" Здравствуйте!
 Здравствуйте!
 А можно, пожалуйста, ролл с лососем один?
 Угу.
 И мне еще это...
 Латте.
 На классическом ролле для вас?
 Да, обычный. Спасибо.
","",""
" Что для вас?
 Сейчас придумаем
 Хорошо
 Редактор субтитров Т.Горелова
 Корректор А.Егорова
","",""
" Что для вас?
 Да, можно, пожалуйста, раф мятный, если можно не очень сладкий.
 Хорошо, я добавлю поменьше заготовки.
 И с собой эспрессо тоник.
 Эспрессо тоник для вас в баночке?
 Да.
 Ага.
 Так.
 А можно вам оставить все, что вы купили?
 Да, конечно.
 Спасибо большое.
 Всего доброго.
 Так, у нас получается раф мятный пряник и эспрессо тоник.
 Пятьсот пятьдесят.
 Чек понадобится для вас?
 Угу.
 Пожалуйста.
","+",""
" Если возможно, напишите, что это чужой номер.
 Если можешь, позвони сейчас на этот номер.
","",""
" Можно, пожалуйста, один минутку отводить?
 Да, конечно. На классическом лаке для вас?
 Да.
 Десерт и выпечка для вас?
 Нет, не надо, мама.
 Хорошо.
 Тридцать ровно. Чек понадобится?
 Нет.
","",""
" Можно потребовать с курицей?
 Сэндвич?
 Сэндвич или чабату?
 Сэндвич.
 Сэндвич, ага.
","",""
" У меня не проходит возможность... у меня нет возможности написать в WhatsApp
 Не, не, позвоните
 Не отображается
 Позвоните
 А WhatsApp не отображается
 Нет, сам WhatsApp зайдите, там будет написано, добавят контакт и он там вам покажет
 Потом удалите его, я просто позвоню, просто на улице тут человек что-то остался
 Сейчас, секунду
 Алло?
 Алло, алло?
 Да, слышу
 Не, не, не, не, не, не, не, не, все хорошо, все хорошо, да, все хорошо, да, да.
 Нет, все хорошо, все, всего доброго.
 Так, сейчас.
 Да, есть. Я на громкую связь поставлю, хорошо?
","",""
" Не, не, не, не, не, не, не, не, все хорошо, все хорошо, да, все хорошо, да, да.
 Нет, все хорошо, все, всего доброго.
 Так, сейчас.
 Да, есть. Я на громкую связь поставлю, хорошо?
 Тимур, ты на работе еще?
 Нет.
 А?
 Нет.
 А где ты?
 А как ты домой попал?
 Да никак, вот встали, упал дверь.
 А ты смс-ку прочитал?
 Нет.
 Можешь тебе прочитать?
 Я просто не очень хочу телефон давать.
 Нет, я здесь буду, я не буду переживать.
 Я не очень хочу вам руки давать.
 Я вот здесь буду, прямо перед вами стоять.
 Не переживайте.
 Вот.
 Молодой человек, тебе как-нибудь в лабораторию?
 Я сейчас.
 Ну, а почему не надо дать телефон?
 Потому что я телефон на ремонт отдал.
 Ты дочитаться можешь?
 Дочитаться можешь?
 Подожди меня, я сейчас подъеду.
 Я же тебе написала.
 Так, прошу, класс, а?
 И через пару минут будешь готов.
 Если что, салфетки с той стороны, с этой стороны.
 Если я буду по телефону говорить, я вам не сильно повышу?
 Нет, все хорошо.
 Всего доброго.
 Девушка, на будущее нормально общайтесь.
 Да.
 Да.
 Не платить анжелику, конечно.
 Зачем ты вообще согласился?
 Я не умею отказываться.
 Я пыталась отказать, но оно не получилось.
 Редактор субтитров А.Семкин
 Корректор А.Кулакова
","+",""
" Здравствуйте.
 Привет.
 Билла, чай что-нибудь?
 Нет, спасибо.
 Нужно будет подождать минуты три.
 Хорошо.
 Редактор субтитров А.Семкин
 Корректор А.Кулакова
 Продолжение следует...
","",""
" Можно мне 1 лотераса?
 Да, конечно.
 На максимальный объем или 3? Подойдет?
 Я бы лучше 1 лотераса.
 Хорошо.
 И 3 лотераса.
 Можно пакет работать?
 Да, конечно.
 Будет вот этот через обычную камеру.
 Пожалуйста, всё готово.
 там челка держал на дверь, я ему сказала спасибо
 и он так яростно начал доказывать, что он вообще не собирался продерживать дверь
 и этот чел, я понимаю, все равно спасибо
 чел просто глинч, он не хочет делать ничего хорошего
 Кто сегодня полотене его приносит?
 Которые снятые его приносят обычно
 41,54 заканчивается?
 Не знаю
 Я уже забыла
 43,51
 43,100
 Я резко забыла
 915,320
 375
 Ты можешь сказать на 915, я сразу пойму
 Так, у нас есть белый шайб.
 Тебе задание.
 Расставить кубочки туда.
 Ага.
 Расставить, размораживаться два чизкейка мангора туда.
 Угу.
 Потому что иначе там слишком светло выглядит.
 Ну да.
 Вот. Давай.
 Сейчас, секунду, я допишу почту.
 Давай.
 Для вас комнатную, холодную?
 Да, конечно.
 Для вас комнатную, холодную?
 Да.
 Беседка, выпечка, да?
 Нет, спасибо.
","",""
" Да, конечно, как нам коврик порезали.
 И это ломали, коврик порезали. А где его порезали?
 Уголочек.
 Техника.
 Техника, человек, вообще, а то...
 Ты козла, что ли, не заметишь?
 Нет, конечно.
 Я же не отравленник и слепой.
 Я их вместе пригласила.
 ИНТРИГУЮЩАЯ МУЗЫКА
 Ты что, залучила коврик уже?
 А?
 Ты уже залучила коврик?
 Ну что, дорогой, пикчеры помыты.
 Пикчеры.
 Пикчеры помыты.
 Так, все еще вот так.
 Да, давай.
 Идти домой.
 Быстрым шагом.
 Восемь.
 Берешь и моешь.
 Нет, не моешь.
 Вот там.
 Там стоит.
 Четыре штуки.
 Ты можешь уйти с ним сегодня, и у нас будет три холодных.
 Да, я с одним уйду.
 И если мы, скорее всего, тоже его холодным сделаем,
 просто в лед зальем.
 Потому что я люблю холодные.
 Что еще я могу сделать?
 Хорошо.
 Почистить микроволновку
 Ок, чистим
 Подожди, там будет травка и я готова тебя вылазить
 Хорошо
 Я закончу сейчас с травкой и ты поможешь мне в холодильнике
 Ок
 Спасибо за субтитры Алексею Дубровскому!
 Продолжение следует...
","",""
" Здравствуйте.
 Можно пожалуйста лунгу на Эфиопию
 Лунгу на Эфиопию?
 Да
 А, у нас по-моему... А, Эфиопия есть
 Всё, сейчас
 Лунгу у нас на Эфиопию
 Бегатите
","+",""
